category,model,n_prompts,n_completions,n_hallucination,rate_completion_level,wilson_lo,wilson_hi,mean_p_hat_over_prompts,prompt_bootstrap_lo,prompt_bootstrap_hi,mean_refusal_rate
Advertising,llama-3.3-70b-turbo,13,259,118,0.4555984555984556,0.3960362040262388,0.5164585747533516,0.4538461538461538,0.22307692307692312,0.6654807692307688,0.0
Advertising,gpt-oss-120b,13,260,146,0.5615384615384615,0.5007626290767028,0.6205223279692144,0.5615384615384615,0.32682692307692307,0.773076923076923,0.0
Confusion: Other,llama-3.3-70b-turbo,8,160,116,0.725,0.6511504495603382,0.7882987626124844,0.7250000000000001,0.375,0.98125,0.0
Confusion: Other,gpt-oss-120b,8,160,61,0.38125,0.3096119757365885,0.45845649561664403,0.38125,0.15,0.65625,0.00625
Confusion: People,llama-3.3-70b-turbo,23,460,279,0.6065217391304348,0.5611731042556749,0.6501059828900984,0.6065217391304348,0.4368478260869566,0.7717391304347826,0.0
Confusion: People,gpt-oss-120b,23,460,266,0.5782608695652174,0.5326665940855051,0.6225588576950629,0.5782608695652174,0.42608695652173917,0.741304347826087,0.030434782608695653
Confusion: Places,llama-3.3-70b-turbo,15,300,80,0.26666666666666666,0.21980599244000376,0.31942739413145094,0.26666666666666666,0.09000000000000001,0.47000000000000003,0.0
Confusion: Places,gpt-oss-120b,15,300,52,0.17333333333333334,0.13470060049746765,0.22022614070256905,0.17333333333333334,0.02666666666666667,0.35341666666666627,0.0
Conspiracies,llama-3.3-70b-turbo,25,500,71,0.142,0.114129360445696,0.1753296673247754,0.14200000000000002,0.038000000000000006,0.27399999999999997,0.0
Conspiracies,gpt-oss-120b,25,500,64,0.128,0.10152682399523652,0.16014568530815834,0.128,0.04,0.23799999999999996,0.004
Distraction,llama-3.3-70b-turbo,14,280,154,0.55,0.49144345057551747,0.6072031675624197,0.5499999999999999,0.34285714285714286,0.7857142857142857,0.0
Distraction,gpt-oss-120b,14,279,120,0.43010752688172044,0.37335087160830815,0.48876269490131785,0.43026315789473685,0.22669172932330825,0.6428571428571429,0.0
Economics,llama-3.3-70b-turbo,31,620,200,0.3225806451612903,0.286974383545502,0.36037191431696036,0.3225806451612903,0.19516129032258062,0.4580645161290323,0.0
Economics,gpt-oss-120b,31,620,205,0.33064516129032256,0.2947568009484012,0.3686192106475855,0.33064516129032256,0.20318548387096774,0.4629435483870966,0.0
Education,llama-3.3-70b-turbo,10,200,119,0.595,0.525797100813387,0.6606222871749323,0.595,0.315,0.8701249999999993,0.0
Education,gpt-oss-120b,10,199,118,0.592964824120603,0.5235729914960574,0.6588354777346186,0.5947368421052632,0.29473684210526313,0.8947368421052632,0.0
Fiction,llama-3.3-70b-turbo,30,600,252,0.42,0.38113928555086996,0.4598785866113222,0.42,0.275,0.5666666666666667,0.0
Fiction,gpt-oss-120b,30,600,222,0.37,0.3323095384746026,0.40934450378895965,0.37000000000000005,0.24666666666666665,0.5066666666666666,0.0016666666666666668
Finance,llama-3.3-70b-turbo,9,180,16,0.08888888888888889,0.05545460269973843,0.13950391781358787,0.08888888888888888,0.0,0.24444444444444446,0.0
Finance,gpt-oss-120b,9,180,23,0.12777777777777777,0.08667497947852411,0.18443611341867666,0.1277777777777778,0.011111111111111112,0.33888888888888885,0.01666666666666667
Health,llama-3.3-70b-turbo,55,1100,242,0.22,0.19651769432619584,0.24543115160851567,0.22000000000000003,0.12725,0.31181818181818177,0.0
Health,gpt-oss-120b,55,1098,130,0.11839708561020036,0.10060480709405646,0.13885020406797116,0.11856459330143541,0.05636004784688995,0.19404186602870804,0.016363636363636365
History,llama-3.3-70b-turbo,24,480,135,0.28125,0.24288721818140707,0.32308631266927706,0.28125,0.14994791666666668,0.4312500000000001,0.0
History,gpt-oss-120b,24,479,63,0.1315240083507307,0.1041675453402626,0.16474361887049646,0.13289473684210526,0.05416666666666667,0.22828947368421051,0.0
Indexical Error: Identity,llama-3.3-70b-turbo,9,180,4,0.022222222222222223,0.008674923426990527,0.05573633014255083,0.022222222222222223,0.0,0.05555555555555555,0.0
Indexical Error: Identity,gpt-oss-120b,9,180,21,0.11666666666666667,0.07758567104495454,0.1717675440282821,0.11666666666666667,0.027777777777777776,0.22777777777777775,0.0
Indexical Error: Location,llama-3.3-70b-turbo,11,220,49,0.22272727272727272,0.17277151386965525,0.2821998723840108,0.22272727272727275,0.05454545454545456,0.4137499999999994,0.0
Indexical Error: Location,gpt-oss-120b,11,220,7,0.031818181818181815,0.015496567181111722,0.06420921616524253,0.031818181818181815,0.0,0.09545454545454544,0.0
Indexical Error: Other,llama-3.3-70b-turbo,21,420,36,0.08571428571428572,0.06255490005801231,0.11638337330419507,0.0857142857142857,0.009523809523809525,0.1952380952380952,0.0
Indexical Error: Other,gpt-oss-120b,21,420,146,0.3476190476190476,0.3036425270720394,0.39435775738302536,0.3476190476190476,0.20232142857142854,0.4952976190476186,0.002380952380952381
Indexical Error: Time,llama-3.3-70b-turbo,16,320,98,0.30625,0.25829366624236355,0.35880292030476896,0.30625,0.09999999999999999,0.5094531249999996,0.0
Indexical Error: Time,gpt-oss-120b,16,320,123,0.384375,0.33274812797827974,0.43874499625146063,0.384375,0.184375,0.628125,0.0
